trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
11,0,11,0,23.05233369988855,,23.022729099960998,5,23.05233369988855,23.05233369988855,0.02206529991235584,26.47046799992677,[-0.38796296296296295],[0.475],[1],[0],[0],[3.425970199983567],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
12,0,12,0,26.506598399952054,,26.476495699957013,5,26.506598399952054,26.506598399952054,0.02278979995753616,28.26776609988883,[0.03981481481481482],[-0.18981481481481483],[1],[0],[0],[1.7694234000518918],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
13,0,13,0,28.303740899893455,,28.27228949998971,5,28.303740899893455,28.303740899893455,0.021476099966093898,30.98675049992744,[0.3685185185185185],[0.28888888888888886],[1],[0],[0],[2.6930851999204606],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
14,0,14,0,31.03483299992513,,30.99340489995666,10,31.03483299992513,31.03483299992513,0.031097099999897182,33.617806599941105,[-0.4777777777777778],[-0.18888888888888888],[1],[0],[0],[2.5938394999830052],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
15,0,15,0,33.648170699947514,,33.62195679999422,5,33.648170699947514,33.648170699947514,0.018762600026093423,36.63691939995624,[0.41388888888888886],[-0.024074074074074074],[1],[0],[0],[2.996501600020565],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
16,0,16,0,36.66817909991369,,36.64380159997381,5,36.66817909991369,36.66817909991369,0.017704700003378093,38.43448509997688,[0.42314814814814816],[-0.3],[1],[0],[0],[1.7736500999890268],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
17,0,17,0,38.485902499989606,,38.43957799999043,10,38.485902499989606,38.485902499989606,0.0338738999562338,41.06855949992314,[-0.009259259259259259],[0.062037037037037036],[1],[0],[0],[2.5955442999256775],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
18,0,18,0,41.09721129992977,,41.07236349990126,5,41.09721129992977,41.09721129992977,0.017650100053288043,42.88521639991086,[0.2175925925925926],[-0.2212962962962963],[1],[0],[0],[1.7950769999297336],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
19,0,19,0,42.93236419989262,,42.89065799990203,10,42.93236419989262,42.93236419989262,0.031135800061747432,44.80111429991666,[0.425],[0.3990740740740741],[1],[0],[0],[1.8795237999875098],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
20,0,20,0,44.84578979993239,,44.80710439989343,5,44.84578979993239,44.84578979993239,0.0176841999636963,46.486586099956185,[-0.43148148148148147],[0.2759259259259259],[1],[0],[0],[1.6621448000660166],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
