trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
10,0,10,0,20.340860399999656,,20.315631000092253,5,20.340860399999656,20.340860399999656,0.017163999960757792,21.546783300000243,[0.10185185185185185],[0.3175925925925926],[1],[0],[0],[1.2140146000310779],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
11,0,11,0,21.57744270004332,,21.552074200008065,5,21.57744270004332,21.57744270004332,0.01827270002104342,22.865313600050285,[0.425],[-0.05092592592592592],[1],[0],[0],[1.2952533999923617],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
12,0,12,0,22.916423300048336,,22.86971200001426,10,22.916423300048336,22.916423300048336,0.034566399990580976,25.210988800041378,[0.43148148148148147],[-0.4462962962962963],[1],[0],[0],[2.3072103000013158],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
13,0,13,0,25.238038700073957,,25.214228100026958,5,25.238038700073957,25.238038700073957,0.016407000017352402,31.445143999997526,[-0.1537037037037037],[0.4888888888888889],[1],[0],[0],[6.214274800033309],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
14,0,14,0,31.49489980004728,,31.44983689999208,10,31.49489980004728,31.49489980004728,0.033892299979925156,38.66125090001151,[0.21666666666666667],[0.40925925925925927],[1],[0],[0],[7.178013299941085],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
15,0,15,0,38.71051550004631,,38.6648545000935,10,38.71051550004631,38.71051550004631,0.03519560000859201,47.19422280008439,[-0.4398148148148148],[-0.10277777777777777],[1],[0],[0],[8.49406210007146],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
16,0,16,0,47.2446484999964,,47.200072700041346,10,47.2446484999964,47.2446484999964,0.03385170002002269,50.57793810009025,[-0.2574074074074074],[0.32222222222222224],[1],[0],[0],[3.3444101999048144],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
17,0,17,0,50.62530610000249,,50.5822605000576,10,50.62530610000249,50.62530610000249,0.03199039993342012,55.34523060009815,[-0.4185185185185185],[-0.43796296296296294],[1],[0],[0],[4.731167700025253],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
18,0,18,0,55.39354230009485,,55.35082819999661,10,55.39354230009485,55.39354230009485,0.03204009996261448,57.628248000051826,[0.004629629629629629],[-0.2037037037037037],[1],[0],[0],[2.2459078999236226],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
19,0,19,0,57.67636780010071,,57.63334020006005,10,57.67636780010071,57.67636780010071,0.032467099954374135,60.49502850009594,[-0.1259259259259259],[-0.40925925925925927],[1],[0],[0],[2.829647700069472],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
