trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.09318259998690337,,0.018811099929735065,5,0.09318259998690337,0.09318259998690337,0.05822140001691878,10.243888499913737,[0.3351851851851852],[-0.04351851851851852],[1],[0],[0],[10.184670899994671],['target'],1,001,2024-10-09_12h18.26.273,visualsearch,2024.1.5,None,2024-10-09 12h18.42.273730 +0530,
1,0,1,0,10.294070299947634,,10.249352899962105,10,10.294070299947634,10.294070299947634,0.0325349000049755,14.9740393999964,[-0.4148148148148148],[0.1527777777777778],[1],[0],[0],[4.692263000062667],['target'],1,001,2024-10-09_12h18.26.273,visualsearch,2024.1.5,None,2024-10-09 12h18.42.273730 +0530,
2,0,2,0,15.039349499973468,,14.977559699909762,10,15.039349499973468,15.039349499973468,0.04983929998707026,19.991954699973576,[0.45185185185185184],[-0.12777777777777777],[1],[0],[0],[4.96474619989749],['target'],1,001,2024-10-09_12h18.26.273,visualsearch,2024.1.5,None,2024-10-09 12h18.42.273730 +0530,
3,0,3,0,20.040196399902925,,19.996275599929504,5,20.040196399902925,20.040196399902925,0.03007350000552833,23.491189699969254,[0.45925925925925926],[-0.37037037037037035],[1],[0],[0],[3.4648067000089213],['target'],1,001,2024-10-09_12h18.26.273,visualsearch,2024.1.5,None,2024-10-09 12h18.42.273730 +0530,
4,0,4,0,23.5267915999284,,23.495918600005098,5,23.5267915999284,23.5267915999284,0.02351600001566112,25.607961499947123,[-0.016666666666666666],[-0.21203703703703702],[1],[0],[0],[2.089018499944359],['target'],1,001,2024-10-09_12h18.26.273,visualsearch,2024.1.5,None,2024-10-09 12h18.42.273730 +0530,
5,0,5,0,25.647973299957812,,25.61506320000626,5,25.647973299957812,25.647973299957812,0.023709699977189302,27.67479750001803,[-0.3675925925925926],[-0.17685185185185184],[1],[0],[0],[2.036771500017494],['target'],1,001,2024-10-09_12h18.26.273,visualsearch,2024.1.5,None,2024-10-09 12h18.42.273730 +0530,
6,0,6,0,27.703540699905716,,27.678500999929383,5,27.703540699905716,27.703540699905716,0.016996499965898693,35.45908109995071,[0.24814814814814815],[0.47129629629629627],[1],[0],[0],[7.763633800088428],['target'],1,001,2024-10-09_12h18.26.273,visualsearch,2024.1.5,None,2024-10-09 12h18.42.273730 +0530,
7,0,7,0,35.50923089997377,,35.46392689994536,10,35.50923089997377,35.50923089997377,0.03254829999059439,37.807412799913436,[-0.44074074074074077],[-0.21388888888888888],[1],[0],[0],[2.311187900020741],['target'],1,001,2024-10-09_12h18.26.273,visualsearch,2024.1.5,None,2024-10-09 12h18.42.273730 +0530,
8,0,8,0,37.838516199961305,,37.812411999912,5,37.838516199961305,37.838516199961305,0.018662599963136017,40.80789339996409,[-0.013888888888888888],[0.08981481481481482],[1],[0],[0],[2.977202699985355],['target'],1,001,2024-10-09_12h18.26.273,visualsearch,2024.1.5,None,2024-10-09 12h18.42.273730 +0530,
9,0,9,0,40.84039499994833,,40.81246549997013,5,40.84039499994833,40.84039499994833,0.02025039994623512,42.79144629999064,[-0.1574074074074074],[-0.027777777777777776],[1],[0],[0],[1.9591122000711039],['target'],1,001,2024-10-09_12h18.26.273,visualsearch,2024.1.5,None,2024-10-09 12h18.42.273730 +0530,
10,0,10,0,42.85389759996906,,42.79805729992222,10,42.85389759996906,42.85389759996906,0.04163260001223534,50.19107970001642,[0.2222222222222222],[0.1638888888888889],[1],[0],[0],[7.351868700003251],['target'],1,001,2024-10-09_12h18.26.273,visualsearch,2024.1.5,None,2024-10-09 12h18.42.273730 +0530,
11,0,11,0,50.22030329995323,,50.19603160000406,5,50.22030329995323,50.22030329995323,0.017697400064207613,52.3950443000067,[-0.04537037037037037],[0.2490740740740741],[1],[0],[0],[2.1811827999772504],['target'],1,001,2024-10-09_12h18.26.273,visualsearch,2024.1.5,None,2024-10-09 12h18.42.273730 +0530,
12,0,12,0,52.45428979990538,,52.400418799952604,10,52.45428979990538,52.45428979990538,0.0369722000323236,55.95774779992644,[0.1574074074074074],[-0.3648148148148148],[1],[0],[0],[3.5207940000109375],['target'],1,001,2024-10-09_12h18.26.273,visualsearch,2024.1.5,None,2024-10-09 12h18.42.273730 +0530,
13,0,13,0,56.01764939993154,,55.96153440000489,10,56.01764939993154,56.01764939993154,0.03670230007264763,61.026047299965285,[0.48055555555555557],[0.46296296296296297],[1],[0],[0],[5.028589099994861],['target'],1,001,2024-10-09_12h18.26.273,visualsearch,2024.1.5,None,2024-10-09 12h18.42.273730 +0530,
14,0,14,0,61.086634399951436,,61.03148120001424,10,61.086634399951436,61.086634399951436,0.034606499946676195,64.34277119999751,[0.24537037037037038],[-0.2388888888888889],[1],[0],[0],[3.277501599979587],['target'],1,001,2024-10-09_12h18.26.273,visualsearch,2024.1.5,None,2024-10-09 12h18.42.273730 +0530,
15,0,15,0,64.39892750000581,,64.34673069999553,10,64.39892750000581,64.39892750000581,0.03654699993785471,66.56007209990639,[-0.3925925925925926],[0.2175925925925926],[1],[0],[0],[2.1772727000061423],['target'],1,001,2024-10-09_12h18.26.273,visualsearch,2024.1.5,None,2024-10-09 12h18.42.273730 +0530,
16,0,16,0,66.62684309994802,,66.56618959992193,10,66.62684309994802,66.62684309994802,0.04375790001358837,68.97524619998876,[-0.1814814814814815],[-0.16018518518518518],[1],[0],[0],[2.3656454998999834],['target'],1,001,2024-10-09_12h18.26.273,visualsearch,2024.1.5,None,2024-10-09 12h18.42.273730 +0530,
17,0,17,0,69.02432530000806,,68.9792648999719,10,69.02432530000806,69.02432530000806,0.03266449994407594,71.04350539995357,[-0.07222222222222222],[-0.1037037037037037],[1],[0],[0],[2.03163520002272],['target'],1,001,2024-10-09_12h18.26.273,visualsearch,2024.1.5,None,2024-10-09 12h18.42.273730 +0530,
18,0,18,0,71.0842916999245,,71.05007859994657,5,71.0842916999245,71.0842916999245,0.02161090006120503,78.39315899997018,[0.4388888888888889],[0.10740740740740741],[1],[0],[0],[7.321064599906094],['target'],1,001,2024-10-09_12h18.26.273,visualsearch,2024.1.5,None,2024-10-09 12h18.42.273730 +0530,
19,0,19,0,78.42770269990433,,78.39873779995833,5,78.42770269990433,78.42770269990433,0.01822540001012385,90.52476810000371,[-0.16574074074074074],[0.4638888888888889],[1],[0],[0],[12.108272999990731],['target'],1,001,2024-10-09_12h18.26.273,visualsearch,2024.1.5,None,2024-10-09 12h18.42.273730 +0530,
