trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.08835779991932213,,0.027556599932722747,5,0.08835779991932213,0.08835779991932213,0.07088650006335229,3.7174344999948516,[-0.010185185185185186],[-0.19722222222222222],[1],[0],[0],[3.645605399971828],['target'],3,001,2024-10-09_12h45.24.096,visualsearch,2024.1.5,None,2024-10-09 12h45.35.563134 +0530,
1,0,1,0,3.744555199984461,,3.7214811999583617,5,3.744555199984461,3.744555199984461,0.016339599969796836,5.115769000025466,[-0.12129629629629629],[-0.25925925925925924],[1],[0],[0],[1.3779840999050066],['target'],3,001,2024-10-09_12h45.24.096,visualsearch,2024.1.5,None,2024-10-09 12h45.35.563134 +0530,
2,0,2,0,5.152985299937427,,5.122594499960542,5,5.152985299937427,5.152985299937427,0.021891699987463653,8.499722099979408,[-0.39537037037037037],[-0.2074074074074074],[1],[0],[0],[3.356140400050208],['target'],3,001,2024-10-09_12h45.24.096,visualsearch,2024.1.5,None,2024-10-09 12h45.35.563134 +0530,
3,0,3,0,8.556061399984173,,8.505740899941884,10,8.556061399984173,8.556061399984173,0.038297299994155765,10.564380700001493,[-0.36666666666666664],[0.2833333333333333],[1],[0],[0],[2.0210690000094473],['target'],3,001,2024-10-09_12h45.24.096,visualsearch,2024.1.5,None,2024-10-09 12h45.35.563134 +0530,
4,0,4,0,10.593451299937442,,10.56899900001008,5,10.593451299937442,10.593451299937442,0.017184199998155236,12.59821889991872,[0.2833333333333333],[0.2],[1],[0],[0],[2.0120820000302047],['target'],3,001,2024-10-09_12h45.24.096,visualsearch,2024.1.5,None,2024-10-09 12h45.35.563134 +0530,
5,0,5,0,12.635265199933201,,12.60450369992759,5,12.635265199933201,12.635265199933201,0.022079500020481646,17.24799870001152,[0.21481481481481482],[-0.22037037037037038],[1],[0],[0],[4.621683400007896],['target'],3,001,2024-10-09_12h45.24.096,visualsearch,2024.1.5,None,2024-10-09 12h45.35.563134 +0530,
6,0,6,0,17.30050949996803,,17.252230599988252,10,17.30050949996803,17.30050949996803,0.03733299998566508,19.6635866999859,[0.38333333333333336],[0.4388888888888889],[1],[0],[0],[2.374239700031467],['target'],3,001,2024-10-09_12h45.24.096,visualsearch,2024.1.5,None,2024-10-09 12h45.35.563134 +0530,
7,0,7,0,19.69316359993536,,19.66870579996612,5,19.69316359993536,19.69316359993536,0.01766840007621795,21.681678899913095,[-0.2722222222222222],[0.25555555555555554],[1],[0],[0],[1.9952003000071272],['target'],3,001,2024-10-09_12h45.24.096,visualsearch,2024.1.5,None,2024-10-09 12h45.35.563134 +0530,
8,0,8,0,21.71333759999834,,21.686424499959685,5,21.71333759999834,21.71333759999834,0.020404999959282577,23.866872899932787,[0.25833333333333336],[0.2074074074074074],[1],[0],[0],[2.1603989999275655],['target'],3,001,2024-10-09_12h45.24.096,visualsearch,2024.1.5,None,2024-10-09 12h45.35.563134 +0530,
9,0,9,0,23.919782100012526,,23.87339249998331,10,23.919782100012526,23.919782100012526,0.03512270003557205,26.5497532999143,[-0.45740740740740743],[-0.225],[1],[0],[0],[2.6419640000676736],['target'],3,001,2024-10-09_12h45.24.096,visualsearch,2024.1.5,None,2024-10-09 12h45.35.563134 +0530,
