reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
27,50,21,0,0,0,2,0.059638500039000064,,0.020490000024437904,0.059638500039000064,1.0079501000000164,1.0079501000000164,1.0745234000496566,17.51447840000037,t,16.490477999963332,None,2,001,2024-11-21_17h43.21.911,delay_discounting,2024.1.5,None,2024-11-21 17h43.30.215999 +0530,
49,60,89,0,1,1,4,17.531112700002268,,17.515709600003902,17.531112700002268,18.524407599994447,18.524407599994447,18.541050200001337,35.71322430000873,t,17.183344900025986,None,2,001,2024-11-21_17h43.21.911,delay_discounting,2024.1.5,None,2024-11-21 17h43.30.215999 +0530,
11,30,7,0,2,2,0,35.72696170001291,,35.714043400017545,35.72696170001291,36.72444220003672,36.72444220003672,36.741200599994045,62.46071280003525,t,25.72192719997838,None,2,001,2024-11-21_17h43.21.911,delay_discounting,2024.1.5,None,2024-11-21 17h43.30.215999 +0530,
40,55,62,0,3,3,3,62.47442050004611,,62.46163690002868,62.47442050004611,63.4748945000465,63.4748945000465,63.4748945000465,68.89367439999478,t,5.4040034000063315,None,2,001,2024-11-21_17h43.21.911,delay_discounting,2024.1.5,None,2024-11-21 17h43.30.215999 +0530,
15,35,14,0,4,4,1,68.90774540003622,,68.89465090003796,68.90774540003622,69.90799360000528,69.90799360000528,69.90799360000528,75.4767242000089,l,5.55909110000357,None,2,001,2024-11-21_17h43.21.911,delay_discounting,2024.1.5,None,2024-11-21 17h43.30.215999 +0530,
78,80,162,0,5,5,6,75.49103840003954,,75.47768310003448,75.49103840003954,76.49153010000009,76.49153010000009,76.49153010000009,85.67759790003765,t,9.175033200008329,None,2,001,2024-11-21_17h43.21.911,delay_discounting,2024.1.5,None,2024-11-21 17h43.30.215999 +0530,
67,75,119,0,6,6,5,85.69128560001263,,85.6784847000381,85.69128560001263,86.69150730001274,86.69150730001274,86.69150730001274,93.69675770000322,t,6.985127900028601,None,2,001,2024-11-21_17h43.21.911,delay_discounting,2024.1.5,None,2024-11-21 17h43.30.215999 +0530,
78,80,162,1,0,7,6,93.70772720000241,,93.69781580002746,93.70772720000241,94.70782660000259,94.70782660000259,94.70782660000259,102.61083160003182,t,7.891898900037631,None,2,001,2024-11-21_17h43.21.911,delay_discounting,2024.1.5,None,2024-11-21 17h43.30.215999 +0530,
67,75,119,1,1,8,5,102.62426980002783,,102.61169270001119,102.62426980002783,103.62472970003728,103.62472970003728,103.62472970003728,117.32747060002293,t,13.689362500037532,None,2,001,2024-11-21_17h43.21.911,delay_discounting,2024.1.5,None,2024-11-21 17h43.30.215999 +0530,
49,60,89,1,2,9,4,117.34109240001999,,117.3284668000415,117.34109240001999,118.34132270002738,118.34132270002738,118.34132270002738,129.02887999999803,t,10.683036000002176,None,2,001,2024-11-21_17h43.21.911,delay_discounting,2024.1.5,None,2024-11-21 17h43.30.215999 +0530,
11,30,7,1,3,10,0,129.04123670002446,,129.02975340001285,129.04123670002446,130.04212620004546,130.04212620004546,130.04212620004546,136.8435800000443,t,6.79471139999805,None,2,001,2024-11-21_17h43.21.911,delay_discounting,2024.1.5,None,2024-11-21 17h43.30.215999 +0530,
27,50,21,1,4,11,2,136.857952499995,,136.84445750003215,136.857952499995,137.85796360002132,137.85796360002132,137.85796360002132,144.6937847000081,t,6.825128099997528,None,2,001,2024-11-21_17h43.21.911,delay_discounting,2024.1.5,None,2024-11-21 17h43.30.215999 +0530,
