reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
11,30,7,0,0,0,0,0.11796109995339066,,0.04835939995246008,0.11796109995339066,1.0037117999745533,1.0037117999745533,1.1201769999461249,2.811105199973099,l,1.7903900000383146,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
78,80,162,0,1,1,6,2.8253263999940827,,2.812670299957972,2.8253263999940827,3.82062189996941,3.82062189996941,3.8375467999721877,5.406667199975345,t,1.5755235000397079,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
15,35,14,0,2,2,1,5.428013999946415,,5.408521399949677,5.428013999946415,6.420413199986797,6.420413199986797,6.43704379996052,7.4743678999948315,l,1.049798300024122,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
67,75,119,0,3,3,5,7.488345599966124,,7.475773399986792,7.488345599966124,8.487021499953698,8.487021499953698,8.50367379997624,10.039431799959857,t,1.5390984999830835,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
27,50,21,0,4,4,2,10.05342529999325,,10.040822699957062,10.05342529999325,11.054087099968456,11.054087099968456,11.054087099968456,12.32443689997308,l,1.2657240999978967,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
49,60,89,0,5,5,4,12.33693339995807,,12.32591669994872,12.33693339995807,13.337486399977934,13.337486399977934,13.337486399977934,15.089372099959292,t,1.7423587999655865,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
40,55,62,0,6,6,3,15.103483699960634,,15.090884799952619,15.103483699960634,16.104069499997422,16.104069499997422,16.104069499997422,17.35588149999967,t,1.2430080999620259,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
11,30,7,1,0,7,0,17.370058299973607,,17.35724979999941,17.370058299973607,18.370589300000574,18.370589300000574,18.370589300000574,19.738464599999133,l,1.3515173999476247,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
49,60,89,1,1,8,4,19.753581599972676,,19.739533499989193,19.753581599972676,20.753909299965017,20.753909299965017,20.753909299965017,21.771929099981207,t,1.0027944999746978,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
40,55,62,1,2,9,3,21.78683739999542,,21.77292399998987,21.78683739999542,22.78731859999243,22.78731859999243,22.78731859999243,25.105123699991964,t,2.304004800040275,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
67,75,119,1,3,10,5,25.120133699965663,,25.106051299953833,25.120133699965663,26.120462399965618,26.120462399965618,26.120462399965618,27.324585399997886,t,1.1998268999741413,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
15,35,14,1,4,11,1,27.336951699981,,27.325902199954726,27.336951699981,28.337338499957696,28.337338499957696,28.337338499957696,30.073366999975406,l,1.7313601999776438,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
78,80,162,1,5,12,6,30.08899629994994,,30.074970999965444,30.08899629994994,31.087628799956292,31.087628799956292,31.104245599999558,32.12199289997807,t,1.0257309000007808,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
27,50,21,1,6,13,2,32.13679099996807,,32.12302549998276,32.13679099996807,33.13721279997844,33.13721279997844,33.13721279997844,34.05649419996189,l,0.9132929999614134,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
49,60,89,2,0,14,4,34.07005639997078,,34.058008099964354,34.07005639997078,35.07061169994995,35.07061169994995,35.07061169994995,37.32168799999636,t,2.2382959999958985,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
78,80,162,2,1,15,6,37.336860899988096,,37.32259619998513,37.336860899988096,38.33723889995599,38.33723889995599,38.33723889995599,39.70617569994647,t,1.363431500038132,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
27,50,21,2,2,16,2,39.720177399984095,,39.70786969998153,39.720177399984095,40.72048709995579,40.72048709995579,40.72048709995579,41.97304219997022,l,1.2444561999873258,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
40,55,62,2,3,17,3,41.986759199993685,,41.973929699976,41.986759199993685,42.98729449999519,42.98729449999519,42.98729449999519,44.92296299996087,l,1.9289986999938264,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
67,75,119,2,4,18,5,44.936823099968024,,44.92397979996167,44.936823099968024,45.93720049998956,45.93720049998956,45.93720049998956,47.172109099978115,t,1.2216975999763235,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
11,30,7,2,5,19,0,47.186998199962545,,47.17305619997205,47.186998199962545,48.18712239997694,48.18712239997694,48.18712239997694,50.139400299987756,l,1.9471367999794893,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
15,35,14,2,6,20,1,50.153654199966695,,50.14039179997053,50.153654199966695,51.153879199991934,51.153879199991934,51.153879199991934,52.35599489999004,l,1.196032399951946,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
40,55,62,3,0,21,3,52.37018879997777,,52.357425299996976,52.37018879997777,53.3705454999581,53.3705454999581,53.3705454999581,54.48903679999057,t,1.1034982000128366,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
49,60,89,3,1,22,4,54.50371609994909,,54.490018799959216,54.50371609994909,55.50386099994648,55.50386099994648,55.50386099994648,57.005491099960636,t,1.487439499993343,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
78,80,162,3,2,23,6,57.020291599968914,,57.00634829996852,57.020291599968914,58.02060299995355,58.02060299995355,58.02060299995355,60.25532729999395,t,2.2182001000037417,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
11,30,7,3,3,24,0,60.27008339995518,,60.25615749997087,60.27008339995518,61.270411199948285,61.270411199948285,61.270411199948285,64.35708469996462,l,3.080758500029333,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
27,50,21,3,4,25,2,64.3702952999738,,64.35839329997543,64.3702952999738,65.37062789994525,65.37062789994525,65.37062789994525,67.85789369995473,l,2.4835834999685176,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
67,75,119,3,5,26,5,67.87013090000255,,67.859422599955,67.87013090000255,68.87067489995388,68.87067489995388,68.87067489995388,70.32254909997573,t,1.4399862000136636,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
15,35,14,3,6,27,1,70.33681919996161,,70.32408179994673,70.33681919996161,71.33736499998486,71.33736499998486,71.33736499998486,73.0920014999574,l,1.749635899963323,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
40,55,62,4,0,28,3,73.10371319996193,,73.0932027999661,73.10371319996193,74.1039952999563,74.1039952999563,74.1039952999563,77.00554509996437,l,2.8931791000068188,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
67,75,119,4,1,29,5,77.02012489998015,,77.00666499999352,77.02012489998015,78.02058809995651,78.02058809995651,78.02058809995651,79.4556441999739,t,1.4247354000108317,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
15,35,14,4,2,30,1,79.47011739999289,,79.4565856999834,79.47011739999289,80.4704417999601,80.4704417999601,80.4704417999601,81.89218349999283,l,1.4165981999831274,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
11,30,7,4,3,31,0,81.90434429998277,,81.89306749997195,81.90434429998277,82.9037043999997,82.9037043999997,82.9037043999997,84.43869249999989,l,1.5184423999744467,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
49,60,89,4,4,32,4,84.45384749997174,,84.44009940000251,84.45384749997174,85.45410209998954,85.45410209998954,85.45410209998954,86.6890639999765,t,1.2275464999838732,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
27,50,21,4,5,33,2,86.70358049997594,,86.68994709994877,86.70358049997594,87.7038982999511,87.7038982999511,87.7038982999511,88.73932759999298,l,1.0279512000270188,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
78,80,162,4,6,34,6,88.75347739999415,,88.74087439995492,88.75347739999415,89.75381869997364,89.75381869997364,89.75381869997364,91.48912569996901,t,1.7244001000071876,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
78,80,162,5,0,35,6,91.5035002999939,,91.48999949998688,91.5035002999939,92.50405859999591,92.50405859999591,92.50405859999591,94.72226159996353,t,2.2071581999771297,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
15,35,14,5,1,36,1,94.73687089997111,,94.72312589996727,94.73687089997111,95.73748439998599,95.73748439998599,95.73748439998599,97.40510309999809,l,1.6511127999983728,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
40,55,62,5,2,37,3,97.42020239995327,,97.40606729994761,97.42020239995327,98.42068469995866,98.42068469995866,98.42068469995866,101.78891239996301,t,3.354062700003851,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
49,60,89,5,3,38,4,101.80345969996415,,101.7897894999478,101.80345969996415,102.80398699996294,102.80398699996294,102.80398699996294,105.05527309997706,t,2.243056599982083,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
27,50,21,5,4,39,2,105.07025119999889,,105.05639029998565,105.07025119999889,106.07046399998944,106.07046399998944,106.07046399998944,107.45591139997123,l,1.3824100999627262,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
11,30,7,5,5,40,0,107.47017629997572,,107.45718809997197,107.47017629997572,108.47059819998685,108.47059819998685,108.47059819998685,111.95591809996404,l,3.4773654000018723,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
67,75,119,5,6,41,5,111.97020419995533,,111.95704769995064,111.97020419995533,112.97062199999345,112.97062199999345,112.97062199999345,115.03931089997059,t,2.0562497000209987,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
49,60,89,6,0,42,4,115.05352229997516,,115.04072859999724,115.05352229997516,116.05401089997031,116.05401089997031,116.05401089997031,121.62213829997927,t,5.559288100048434,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
27,50,21,6,1,43,2,121.63679759996012,,121.62316829996416,121.63679759996012,122.6372938999557,122.6372938999557,122.6372938999557,126.12311759998556,l,3.4770754000055604,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
15,35,14,6,2,44,1,126.13685670000268,,126.12402279995149,126.13685670000268,127.137250699976,127.137250699976,127.137250699976,129.82307220000075,l,2.678007099952083,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
67,75,119,6,3,45,5,129.8368936999468,,129.82400289998623,129.8368936999468,130.83738679997623,130.83738679997623,130.83738679997623,132.95586709998315,t,2.106835199985653,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
40,55,62,6,4,46,3,132.97012709995033,,132.9574107999797,132.97012709995033,133.97073149995413,133.97073149995413,133.97073149995413,135.42234699998517,l,1.4359069000347517,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
11,30,7,6,5,47,0,135.43688100000145,,135.42323549999855,135.43688100000145,136.4373465999961,136.4373465999961,136.4373465999961,137.28906889999053,l,0.8367326000006869,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
78,80,162,6,6,48,6,137.3035428999574,,137.29036859999178,137.3035428999574,138.30386919999728,138.30386919999728,138.30386919999728,140.22232309996616,l,1.902852100029122,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
11,30,7,7,0,49,0,140.236782699998,,140.22313419997226,140.236782699998,141.23718929995084,141.23718929995084,141.23718929995084,142.3399042999954,l,1.097528800019063,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
78,80,162,7,1,50,6,142.35356979997596,,142.34078379999846,142.35356979997596,143.35398689995054,143.35398689995054,143.35398689995054,145.05566620000172,l,1.69035009999061,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
15,35,14,7,2,51,1,145.07004530000268,,145.05666099995142,145.07004530000268,146.0706508999574,146.0706508999574,146.0706508999574,147.1391662999522,l,1.062932999979239,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
40,55,62,7,3,52,3,147.15349469997454,,147.14042569999583,147.15349469997454,148.15416659996845,148.15416659996845,148.15416659996845,149.02503129997058,t,0.8668359000002965,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
67,75,119,7,4,53,5,149.03768670000136,,149.02634879999096,149.03768670000136,150.0371789999772,150.0371789999772,150.0371789999772,150.85566429997561,t,0.8154649999924004,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
27,50,21,7,5,54,2,150.87015350000001,,150.8568999999552,150.87015350000001,151.87054229999194,151.87054229999194,151.87054229999194,152.7389140999876,l,0.8523457000264898,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
